source,seq,requested_at,url,http_status,elapsed_ms,body_sha256
official_website,1,2026-08-03T00:00:00.000Z,https://www.fixture-a.example/venue/001,200,100,fb75f356e14cca0c41bed92ca14486ccbda887cc693c8421497e237c43e63a93
official_website,2,2026-08-03T00:00:02.000Z,https://www.fixture-a.example/venue/002,200,100,84bce9163b11e88f542d56d6f5ddfba5db7de2c93b2c71fe6167c496c19a0ff7
official_website,3,2026-08-03T00:00:04.000Z,https://www.fixture-a.example/venue/003,200,100,835e3eeaa44f698f6043c655b74f78bacacc7160155cecd500339b96eae7e827
official_website,4,2026-08-03T00:00:06.000Z,https://www.fixture-a.example/venue/004,200,100,88d20cfbbcfbf35d590816dcc0b2df3f438a6b2f91eebaf473903c9ce7fb3e03
official_website,5,2026-08-03T00:00:08.000Z,https://www.fixture-a.example/venue/005,200,100,23128d9e48a1f6ac929a478e734a74f01ca55c2cacc36a54692c6e4931ca6cd0
official_website,6,2026-08-03T00:00:10.000Z,https://www.fixture-a.example/venue/006,200,100,1c4c11174d12d4de9665605a57aee397454b872f3060d7916455381e8403d3ac
official_website,7,2026-08-03T00:00:12.000Z,https://www.fixture-a.example/venue/007,200,100,32a894cfa7afa305bbd3e32ab6a433c12fea2438f7913d55c4bfdd9ba624283e
official_website,8,2026-08-03T00:00:14.000Z,https://www.fixture-a.example/venue/008,200,100,9ab0db061deddf9775e07821d50ef7d24d7a316cda1150768e840d2182268dad
official_website,9,2026-08-03T00:00:16.000Z,https://www.fixture-a.example/venue/009,200,100,8cad3a7356ef3c72f5233593deb1b08517d1eed0acb6cb292fe4efb4f3241916
official_website,10,2026-08-03T00:00:18.000Z,https://www.fixture-a.example/venue/010,200,100,2c9119d2457fcfb78cf126fbbf0ad7e83de414b277f73ed690ee7b172037222e
official_website,11,2026-08-03T00:00:20.000Z,https://www.fixture-a.example/list?page=1,200,100,400d2baa9414f87badd683d085686c605c55f9e815debd121cf6c77e2375a659
official_website,12,2026-08-03T00:00:22.000Z,https://www.fixture-a.example/list?page=2,200,100,88ed49a511e0f84e6773142792e9fccbd97e030eeb822179332644c895de6bce
official_website,13,2026-08-03T00:00:24.000Z,https://www.fixture-a.example/list?page=3,200,100,26debfa74c4a65ede318354f5b89f8f30f6609ad4a86a4093a94dab0a6872bd4
official_website,14,2026-08-03T00:00:26.000Z,https://www.fixture-a.example/list?page=4,200,100,ad5125a6a76249e647231737bcb16158ffc4de7ea004d77d0c26527e64aaf1ec
official_website,15,2026-08-03T00:00:28.000Z,https://www.fixture-a.example/list?page=5,200,100,43ff65cae5e3f0e8c88f3c5fa9b95682304c62557331a572279fe0c35ddf5158
official_website,16,2026-08-03T00:00:30.000Z,https://www.fixture-a.example/list?page=6,200,100,14c1a517daef7aa49d5e1a5355ffb330eef7c31d59e7bbc581f3fbd8ecb09129
official_website,17,2026-08-03T00:00:32.000Z,https://www.fixture-a.example/list?page=7,200,100,e2d1f8d809a1fac86daa52a0f7ee3f8815447ec4ca6c1d87a681e2d3e50850c9
official_website,18,2026-08-03T00:00:34.000Z,https://www.fixture-a.example/list?page=8,200,100,9f7028ead5a34a0d0837baf3e99f7c6d7d7801422dd065254d6d8b6ccd5ea4b1
official_website,19,2026-08-03T00:00:36.000Z,https://www.fixture-a.example/list?page=9,200,100,8f8cdb05bbbf77f37e9c37369b8960ae2b269bd35cac32498d4ddf82ba64b4ec
official_website,20,2026-08-03T00:00:38.000Z,https://www.fixture-a.example/robots.txt,200,100,4e1917d5b406b3ae99aa59b673ed55e5728d5613dc613c502989e0e669decbd9
alt_one,1,2026-08-03T00:00:00.000Z,https://www.fixture-b.example/venue/001,200,100,b8f4f7aa31f1ec1dfe20b4fbceab18ad3e30cbb6d6931c2043abd52f8f5585a6
