source,seq,url,http_status,fetched_at_utc,snapshot_path,snapshot_sha256,business_name,extracted_title,extracted_site_name,extracted_address,district
official_website,1,https://www.fixture-a.example/venue/001,200,2026-08-03T00:00:00.000Z,docs/discovery/D3/reachability/snapshots/official_website.01.html,fb75f356e14cca0c41bed92ca14486ccbda887cc693c8421497e237c43e63a93,픽스처업체01,official_website fixture 1,official_website,서울 강남구 테스트로 1,서초구
official_website,2,https://www.fixture-a.example/venue/002,200,2026-08-03T00:00:12.000Z,docs/discovery/D3/reachability/snapshots/official_website.02.html,84bce9163b11e88f542d56d6f5ddfba5db7de2c93b2c71fe6167c496c19a0ff7,픽스처업체02,official_website fixture 2,official_website,서울 강남구 테스트로 1,송파구
official_website,3,https://www.fixture-a.example/venue/003,200,2026-08-03T00:00:24.000Z,docs/discovery/D3/reachability/snapshots/official_website.03.html,835e3eeaa44f698f6043c655b74f78bacacc7160155cecd500339b96eae7e827,픽스처업체03,official_website fixture 3,official_website,서울 강남구 테스트로 1,강남구
official_website,4,https://www.fixture-a.example/venue/004,200,2026-08-03T00:00:36.000Z,docs/discovery/D3/reachability/snapshots/official_website.04.html,88d20cfbbcfbf35d590816dcc0b2df3f438a6b2f91eebaf473903c9ce7fb3e03,픽스처업체04,official_website fixture 4,official_website,서울 강남구 테스트로 1,서초구
official_website,5,https://www.fixture-a.example/venue/005,200,2026-08-03T00:00:48.000Z,docs/discovery/D3/reachability/snapshots/official_website.05.html,23128d9e48a1f6ac929a478e734a74f01ca55c2cacc36a54692c6e4931ca6cd0,픽스처업체05,official_website fixture 5,official_website,서울 강남구 테스트로 1,송파구
official_website,6,https://www.fixture-a.example/venue/006,200,2026-08-03T00:01:00.000Z,docs/discovery/D3/reachability/snapshots/official_website.06.html,1c4c11174d12d4de9665605a57aee397454b872f3060d7916455381e8403d3ac,픽스처업체06,official_website fixture 6,official_website,서울 강남구 테스트로 1,강남구
official_website,7,https://www.fixture-a.example/venue/007,200,2026-08-03T00:01:12.000Z,docs/discovery/D3/reachability/snapshots/official_website.07.html,32a894cfa7afa305bbd3e32ab6a433c12fea2438f7913d55c4bfdd9ba624283e,픽스처업체07,official_website fixture 7,official_website,서울 강남구 테스트로 1,서초구
official_website,8,https://www.fixture-a.example/venue/008,200,2026-08-03T00:01:24.000Z,docs/discovery/D3/reachability/snapshots/official_website.08.html,9ab0db061deddf9775e07821d50ef7d24d7a316cda1150768e840d2182268dad,픽스처업체08,official_website fixture 8,official_website,서울 강남구 테스트로 1,송파구
official_website,9,https://www.fixture-a.example/venue/009,200,2026-08-03T00:01:36.000Z,docs/discovery/D3/reachability/snapshots/official_website.09.html,8cad3a7356ef3c72f5233593deb1b08517d1eed0acb6cb292fe4efb4f3241916,픽스처업체09,official_website fixture 9,official_website,서울 강남구 테스트로 1,강남구
official_website,10,https://www.fixture-a.example/venue/010,200,2026-08-03T00:01:48.000Z,docs/discovery/D3/reachability/snapshots/official_website.10.html,2c9119d2457fcfb78cf126fbbf0ad7e83de414b277f73ed690ee7b172037222e,픽스처업체10,official_website fixture 10,official_website,서울 강남구 테스트로 1,서초구
