source,seq,requested_at,url,http_status,elapsed_ms,body_sha256
official_website,1,2026-08-03T03:07:53.048Z,https://www.spoany.co.kr/branch_view.php?idx=26,200,100,abd1d444116cd73efcde615c137954571b63d54192dbc0e5da7d2260975e56bb
official_website,2,2026-08-03T03:08:05.161Z,https://www.spoany.co.kr/branch_view.php?idx=38,200,503,4050847c89aa75123561d45820f4d9df277d0274465c2cb585f5f1aee7790467
official_website,3,2026-08-03T03:08:17.678Z,https://www.spoany.co.kr/branch_view.php?idx=25,200,146,62d7e84926775545864465256667278684f7f253f4040544a678d3d88df55868
official_website,4,2026-08-03T03:08:29.841Z,https://www.spoany.co.kr/branch_view.php?idx=110,200,96,24aadb0745597080a6ca008701cf22d76af05dc2dea3fbb30e0aeddb07e2bce3
official_website,5,2026-08-03T03:08:41.945Z,https://www.spoany.co.kr/branch_view.php?idx=82,200,78,2448e911894ffce1c17e6f2d20bd20e7c317e24fe09da5a6bb979148ceed950a
official_website,6,2026-08-03T03:08:54.038Z,https://www.spoany.co.kr/branch_view.php?idx=56,200,105,e728a298195e8560b834c9eccf5f896fe8b242ba980ab3a5dbec3c55d3c9c995
official_website,7,2026-08-03T03:09:06.153Z,https://www.spoany.co.kr/branch_view.php?idx=22,200,91,4172e8443c096faf2490d3a411a95dd6e3a6c793f31b70277868163ba06b3650
official_website,8,2026-08-03T03:09:18.258Z,https://www.spoany.co.kr/branch_view.php?idx=18,200,682,7c4af569523ff08f1366af5a2b6bbe10e0d8b1c3925fa274ba3d9cb753c2eab7
official_website,9,2026-08-03T03:09:30.959Z,https://www.spoany.co.kr/branch_view.php?idx=11,200,252,63f585fc1be3194d2f0bec2970e62acd144bfc7e2a09f920a29ef71f0d76d5d1
official_website,10,2026-08-03T03:09:43.225Z,https://www.spoany.co.kr/branch_view.php?idx=28,200,502,60f7d9110cb6cd002a04011c04ad8778adc2ad46bf85b41a520191fedfaacd9b
official_website,11,2026-08-03T03:09:55.741Z,https://www.fitnessm1.com/hakdong,200,830,ff3d57360f1261e9f1715df78f2825fd6e5fbaa1b261b479676c8cec16f62594
official_website,12,2026-08-03T03:10:08.614Z,https://soonsoobeauty.com/,200,214,f22e500947c0a4702347c8471eb57d785e13a1b8e595bb167de61b1c6a11541e
official_website,13,2026-08-03T03:10:20.844Z,https://www.spoany.co.kr/robots.txt,200,96,b3acbc93a374168f8d4ccec940b600024ca9cef174fbc0d8eeef0e4ea7456fd8
official_website,14,2026-08-03T03:10:32.951Z,https://www.fitnessm1.com/robots.txt,200,144,824dc33d7ca4d1967becbfe218fe3360ceed4f0ffe0e6284bdbe99b33a3898d5
official_website,15,2026-08-03T03:10:45.105Z,https://soonsoobeauty.com/robots.txt,200,552,abac5dba59f670acc954ab809110d6d5f47b53ced9c2b7b91f6bad5df9b712d5
official_website,16,2026-08-03T03:10:57.668Z,https://www.chaum.net/robots.txt,200,127,a3d0e57f1022e064dfd49eafdf4b87554ee1096fc1af797010fafc2d7b7b5f07
official_website,17,2026-08-03T03:11:09.805Z,https://www.curveskorea.co.kr/robots.txt,200,129,04a2dacb9f947366e17e2ef1eb1686c80975198cf998b4115430b65614e8b7ad
official_website,18,2026-08-03T03:11:21.945Z,https://www.spoany.co.kr/branch.php,200,393,7890f7c8b772c22aaecf998c1177d51f5cc8ab8d8d89798fcf9e6f6b7b0574f9
official_website,19,2026-08-03T03:11:34.351Z,https://www.fitnessm1.com/gx,200,3860,b5b1d01cb3acccb75f77ffea4f5ab82ec25ccb5ca959d672dfe0278ad6df5428
official_website,20,2026-08-03T03:11:50.214Z,https://www.chaum.net/,200,1067,8999f4ee23dab1cabeba9941cc0f1db89d5dc0ffc208ed0b9779e33965776fd9
